Gender,Age,Occupation,ZIP-code,247,885,1097,1654,2086,2138,2872
F,45,13,982,0,0,4,0,5,3,1
F,45,4,197,0,4,1,0,4,3,0
F,18,4,220,5,0,0,0,0,0,0
M,45,6,847,0,1,3,0,0,0,4
F,56,6,462,3,2,2,5,0,1,0
M,35,15,956,1,0,3,2,0,0,2
F,45,6,700,0,0,1,0,2,0,2
M,18,2,481,3,0,2,1,3,5,2
F,25,7,833,0,0,2,0,2,0,2
F,50,7,988,2,0,2,0,5,0,5
F,35,14,372,0,0,2,0,5,5,0
M,45,2,559,2,0,5,5,2,4,2
F,25,7,208,3,0,4,0,0,0,0
M,35,15,376,4,4,1,0,4,2,1
M,25,2,279,4,0,5,0,4,0,0
F,1,19,50,0,0,1,4,0,1,5
F,25,12,15,4,0,5,0,2,0,3
F,45,2,641,0,0,5,0,2,0,0
F,18,5,934,4,0,4,0,0,0,0
M,1,17,987,2,3,1,3,5,0,1
M,50,19,531,2,0,0,0,2,0,3
F,35,15,170,0,0,2,0,0,0,3
M,45,20,262,0,2,3,0,0,5,0
M,35,9,914,0,1,5,0,0,0,0
F,50,3,953,0,0,5,5,2,0,4
F,56,6,539,0,0,5,5,2,0,2
F,45,1,833,0,0,0,0,4,3,4
M,18,0,465,1,2,0,0,4,0,0
M,25,7,921,4,0,5,0,0,0,1
F,56,3,975,0,1,3,3,0,0,4
F,35,17,198,0,5,4,0,3,3,3
M,56,6,468,5,0,1,2,3,5,4
M,56,16,31,0,0,2,0,3,5,1
F,25,0,705,4,5,1,0,3,5,5
F,56,1,933,0,3,0,3,0,1,0
F,1,19,625,0,4,2,3,0,3,2
F,35,2,234,0,0,2,4,4,0,0
F,45,20,880,4,0,1,1,0,2,0
M,25,13,140,0,5,3,0,2,1,3
F,1,13,319,4,3,2,3,0,0,2
F,45,4,103,0,5,3,5,0,2,1
F,56,17,130,0,0,2,0,0,5,0
M,1,0,382,0,4,3,1,0,5,1
F,18,6,532,0,0,1,4,0,0,2
F,45,17,902,0,0,5,2,0,0,0
M,1,12,447,0,0,5,0,0,4,0
F,35,5,970,4,0,0,1,2,5,0
F,1,19,560,0,1,1,3,3,0,2
M,25,7,923,0,1,4,4,0,2,5
F,56,13,161,3,5,3,0,3,2,0
M,50,18,376,0,1,0,0,0,1,0
M,25,1,146,3,3,5,5,0,1,2
F,18,2,79,2,0,0,1,2,3,4
F,18,10,309,0,4,1,0,4,0,3
F,56,8,559,4,0,0,1,4,1,3
M,50,11,957,0,2,2,0,0,0,1
M,1,13,201,3,2,4,0,5,0,0
M,50,4,946,0,0,0,0,3,2,1
M,45,17,752,5,5,0,4,0,0,3
M,50,8,21,0,1,5,0,0,0,4
F,1,14,975,2,1,3,0,0,0,1
F,35,6,907,0,4,5,1,0,0,5
F,25,15,447,0,0,2,0,5,4,3
F,25,0,527,2,3,4,1,5,1,3
F,35,5,923,0,0,3,0,0,0,1
F,50,1,262,4,4,1,0,5,3,1
F,35,17,354,3,0,4,0,0,0,5
M,18,2,196,0,1,5,5,0,1,2
M,35,9,186,2,0,5,0,2,0,0
M,18,13,809,0,3,2,3,3,5,0
F,35,11,100,2,0,2,0,4,0,2
M,25,9,253,0,0,3,0,4,5,1
M,1,13,704,2,2,1,4,0,0,2
M,1,2,240,0,0,1,5,4,4,3
F,18,16,379,3,0,3,0,4,1,0
F,56,19,912,1,0,1,3,4,3,0
F,35,20,933,0,0,3,0,5,0,0
M,1,10,79,0,0,4,0,2,3,5
F,35,5,459,0,5,3,4,0,3,5
M,18,17,786,0,0,4,0,3,2,5
F,56,10,60,0,2,3,0,3,0,0
F,45,14,497,5,2,5,3,2,3,5
M,25,2,580,0,0,2,0,2,2,0
M,56,6,165,3,3,2,0,0,0,2
F,35,8,988,0,5,0,0,0,0,0
F,25,7,380,4,1,4,0,0,2,1
M,35,11,98,4,0,2,5,5,5,1
F,18,20,799,3,0,4,4,4,0,4
M,35,9,100,2,0,3,4,2,3,5
M,50,6,826,5,0,3,3,5,1,1
F,35,0,273,0,4,2,0,0,0,0
F,56,12,685,1,0,0,4,0,0,3
F,50,13,880,0,0,1,3,0,4,0
M,35,20,705,0,0,1,5,3,5,1
F,56,10,461,0,0,3,0,5,2,0
F,35,8,612,5,1,0,1,0,1,0
M,45,2,773,3,3,5,5,0,0,4
F,45,12,161,0,5,0,2,0,0,2
M,18,6,580,4,0,1,2,4,4,2
M,56,1,777,0,0,5,0,2,3,2
M,50,10,554,0,5,5,5,3,0,0
M,56,8,946,5,0,0,0,4,3,4
M,45,1,894,0,4,3,0,2,1,1
M,45,10,148,4,0,1,3,5,3,2
F,45,5,21,3,5,0,0,3,0,1
M,35,11,633,4,1,3,0,4,0,1
M,50,11,465,4,3,0,0,2,4,0
M,18,10,81,2,0,1,0,0,0,0
M,35,14,777,1,2,5,0,2,0,5
M,56,6,417,5,3,4,4,4,3,0
F,56,19,296,5,2,1,2,0,1,0
F,25,14,296,0,2,0,0,3,2,5
F,56,6,946,2,0,0,0,2,2,1
M,35,2,600,0,0,5,0,5,0,0
F,50,8,461,3,1,2,4,0,0,0
M,45,20,597,0,0,1,0,0,1,0
F,50,18,904,4,1,0,0,2,0,0
M,35,14,535,4,0,1,4,0,4,0
F,50,19,50,0,5,1,5,0,0,3
F,1,8,54,2,0,3,4,0,0,0
M,1,9,916,0,1,4,0,2,0,3
F,18,10,231,0,0,3,0,2,2,3
F,1,13,681,0,1,0,0,0,5,3
F,50,6,338,2,1,5,5,5,5,0
M,50,15,469,0,0,4,0,4,0,2
M,56,6,581,2,5,0,2,0,0,1
F,50,13,731,0,2,1,0,2,3,2
M,18,12,28,2,4,4,0,0,0,0
M,35,13,113,5,0,0,0,0,0,3
F,18,18,12,3,0,0,0,0,0,0
M,35,5,990,2,4,1,5,2,2,1
F,18,10,532,0,1,2,0,0,0,2
F,35,14,490,0,0,5,0,0,3,2
F,50,19,952,3,1,3,2,5,0,0
F,50,12,931,0,0,0,0,0,0,0
M,1,19,525,0,0,0,0,5,0,0
M,25,0,465,0,0,0,0,0,0,3
M,35,14,171,0,0,0,0,0,0,0
M,25,15,527,2,0,1,0,2,1,3
F,50,18,240,2,3,2,4,5,0,4
M,45,20,790,0,0,3,3,0,2,3
F,50,20,148,5,0,1,0,4,0,2
M,1,17,279,0,3,3,0,4,0,5
F,1,13,122,0,0,3,4,0,0,0
M,35,20,820,0,0,3,0,2,5,0
F,25,9,919,2,2,4,0,2,0,5
M,45,14,952,0,0,1,0,4,5,0
F,45,12,878,0,0,1,0,0,0,0
M,35,18,265,0,5,1,4,4,2,0
F,50,18,980,4,4,2,0,0,0,4
M,45,1,309,0,1,0,0,0,1,5
F,35,18,380,1,0,3,0,0,5,2
M,50,17,923,0,4,3,0,0,0,0
F,35,9,772,5,1,4,0,5,0,0
F,35,15,613,4,5,4,0,4,2,0
M,45,4,104,0,5,1,0,5,1,0
M,35,0,900,2,1,5,5,0,2,5
F,25,7,354,0,4,1,0,5,1,3
F,25,16,987,3,0,3,0,4,2,2
F,1,13,534,2,2,4,5,0,5,4
F,45,13,915,5,0,3,4,0,5,3
M,50,2,66,2,2,0,1,5,5,4
F,50,2,537,0,4,0,0,0,0,0
M,1,2,148,0,0,1,0,0,5,0
F,35,0,988,2,1,0,0,0,4,0
M,1,13,78,2,5,0,0,2,2,5
M,25,3,22,0,3,0,0,0,0,0
F,35,0,104,4,0,3,0,0,2,0
F,35,15,975,4,1,3,5,2,5,0
F,25,3,41,3,0,1,4,0,1,0
M,18,10,878,0,5,5,0,0,4,1
F,50,6,815,1,3,5,5,3,4,0
M,56,12,457,5,0,2,2,0,5,0
M,18,20,811,4,0,4,0,4,0,5
F,18,19,770,0,1,3,0,2,4,4
M,18,17,108,1,0,3,0,0,1,1
M,50,18,912,4,1,1,1,5,0,0
M,45,2,465,5,3,0,3,0,0,4
M,1,2,206,0,0,1,5,0,0,0
M,25,17,780,1,0,5,0,4,0,0
M,18,16,361,4,0,4,0,5,0,1
M,35,3,320,0,0,0,0,0,3,0
F,56,18,471,0,3,2,0,3,2,0
M,35,2,794,0,0,2,0,4,5,2
M,50,8,434,1,0,3,0,4,1,0
M,25,4,100,0,0,3,0,0,0,0
M,35,17,307,0,0,3,5,0,3,0
F,35,5,31,0,3,2,0,0,3,1
M,56,5,947,5,3,0,0,4,4,0
M,50,17,321,0,3,5,0,3,0,0
M,25,17,870,1,0,3,0,0,4,0
F,45,9,224,1,2,0,3,0,0,0
M,1,10,190,0,1,3,0,4,1,3
F,18,4,773,2,3,5,0,4,3,0
M,25,11,396,0,0,0,0,5,0,3
F,45,12,740,2,2,2,0,3,0,4
M,50,20,701,0,5,1,0,0,0,0
