Gender,Age,Occupation,ZIP-code,247,885,1097,1654,2086,2138,2872
F,25,3,191,5,0,1,0,0,0,0
M,25,18,146,0,0,5,5,4,4,5
M,35,10,598,4,1,3,1,4,0,5
F,25,2,103,1,0,3,0,0,0,0
M,25,11,780,2,0,0,0,0,0,3
M,35,12,371,4,2,4,3,0,0,5
F,50,19,197,1,0,0,0,5,1,0
F,18,9,64,2,0,1,0,5,4,0
M,25,17,544,5,0,3,0,0,5,0
F,18,17,488,4,1,1,0,0,0,4
F,56,19,950,0,0,3,0,3,2,2
M,35,14,457,5,2,2,3,5,1,1
F,50,1,279,3,4,0,0,0,0,0
M,18,2,942,1,0,5,0,3,3,0
F,35,14,758,5,5,2,1,2,4,3
M,25,17,773,5,0,4,4,0,0,0
M,25,7,482,0,0,4,0,0,0,0
F,56,16,171,0,2,2,2,3,1,0
F,25,20,338,3,0,0,0,5,4,0
M,18,15,833,0,0,2,0,2,0,1
F,50,10,122,5,2,5,5,3,4,5
M,45,19,977,5,2,5,0,5,0,1
F,18,9,23,1,5,2,5,0,0,5
F,1,20,680,5,5,2,5,3,2,3
M,56,15,272,4,0,1,4,0,1,0
M,18,15,373,3,4,4,2,1,1,3
M,45,14,523,5,0,0,0,0,0,0
M,25,20,983,5,0,1,4,3,2,0
F,45,17,474,4,1,5,4,0,0,2
M,1,16,780,2,4,5,4,3,5,0
M,25,20,660,0,0,4,0,5,0,0
M,25,1,495,4,0,3,0,0,0,0
M,56,11,700,5,2,5,0,3,5,5
M,25,6,540,5,0,3,0,0,0,1
M,25,7,320,2,1,3,2,1,5,4
M,56,12,790,5,4,2,2,1,3,5
M,25,19,178,2,5,1,2,3,4,5
M,50,0,18,3,0,2,5,5,4,0
F,25,17,485,5,0,2,0,5,1,0
M,25,2,180,4,0,5,0,0,0,3
M,56,13,303,1,1,3,5,3,1,3
F,45,12,421,2,5,0,5,0,0,0
M,56,8,79,5,3,3,1,0,2,3
F,35,7,970,2,3,2,0,0,0,4
M,1,1,658,2,1,1,0,5,5,3
M,35,15,193,4,0,4,0,1,0,1
F,35,18,103,5,1,2,0,4,0,1
M,45,11,78,5,0,3,0,5,5,0
F,56,6,906,0,0,5,0,0,0,0
F,56,15,100,4,2,0,2,3,2,5
F,25,7,331,0,0,5,0,0,0,0
M,18,20,431,2,0,0,0,0,0,1
F,25,15,309,4,0,4,0,0,0,0
M,18,12,966,0,4,5,3,4,1,2
M,56,0,228,4,1,3,0,0,0,4
M,56,7,142,2,3,4,2,5,3,1
F,35,6,705,5,0,4,0,0,0,0
F,25,8,551,3,3,0,0,1,4,0
M,25,11,605,4,0,5,0,3,0,4
F,1,13,312,1,5,3,5,4,0,0
M,25,1,966,2,0,4,0,0,0,0
F,25,5,727,0,3,2,0,5,5,5
M,35,8,537,1,3,1,0,4,5,0
F,35,11,891,3,0,1,0,0,0,0
F,25,1,431,1,2,2,0,0,0,4
M,50,2,553,0,4,0,3,0,4,0
M,45,4,461,2,0,0,0,0,0,0
F,18,5,69,5,3,4,5,1,2,2
M,25,15,627,0,0,3,0,4,3,0
F,1,13,372,4,0,0,4,0,4,0
F,1,20,923,1,4,5,5,4,5,5
M,18,3,493,5,0,1,4,3,1,0
F,50,16,111,5,2,2,3,2,5,5
M,25,11,498,5,0,3,0,0,0,1
F,35,0,286,4,1,1,3,0,5,3
F,1,0,208,0,2,2,0,1,3,1
M,45,7,953,2,0,2,0,1,0,0
M,50,11,633,2,2,0,3,4,3,0
F,56,17,931,2,5,2,3,0,4,4
F,45,15,377,4,0,0,0,2,4,0
M,25,3,905,0,0,3,0,0,0,4
F,56,1,540,2,5,2,4,0,0,2
M,50,20,930,0,5,5,2,1,2,3
M,50,7,190,2,0,3,0,4,0,5
M,50,4,674,0,0,0,0,3,2,0
F,45,8,424,3,3,4,0,0,5,3
M,45,1,224,1,0,0,0,0,0,4
F,35,11,900,3,0,5,0,5,0,4
M,56,5,433,2,1,4,3,4,0,0
M,25,15,80,3,0,1,5,0,3,3
F,1,9,347,3,1,1,3,4,3,3
F,18,19,550,2,1,5,4,5,0,5
M,1,11,484,1,0,5,5,2,0,4
M,35,19,273,1,0,4,0,2,3,0
M,25,9,662,0,0,5,5,3,4,0
M,56,4,211,2,0,5,5,0,0,0
F,25,9,486,1,0,0,0,0,0,0
F,56,18,229,5,1,1,2,1,4,5
F,45,18,286,1,3,4,1,4,0,0
F,35,1,333,5,5,1,0,2,3,4
F,25,9,549,5,1,3,5,5,1,5
M,45,17,132,5,4,5,0,3,2,1
M,1,9,501,0,3,1,3,4,0,3
M,25,19,26,5,1,5,0,4,0,5
M,1,9,279,3,5,3,3,3,5,2
M,56,18,557,0,4,3,5,4,5,2
F,18,11,940,3,0,1,1,1,3,0
F,56,15,165,0,0,3,0,0,4,3
M,25,11,191,5,2,5,0,4,4,0
M,1,15,307,5,1,0,1,0,0,0
F,56,10,10,0,5,3,3,5,2,5
M,25,3,954,0,0,2,2,3,0,3
M,1,14,381,2,4,2,1,3,0,5
M,50,18,681,1,0,5,3,4,5,0
M,35,15,741,4,1,0,0,0,0,0
M,18,3,840,2,1,5,4,2,2,4
M,25,15,597,4,0,0,0,3,5,0
F,45,17,914,1,5,3,0,0,0,0
M,1,7,503,1,0,1,0,0,0,3
F,50,17,193,1,0,3,0,0,0,0
M,25,2,805,4,0,0,0,0,1,0
M,25,19,782,2,0,2,0,4,0,0
F,25,7,61,5,0,5,0,0,0,3
M,25,17,166,5,0,0,0,0,0,0
M,56,18,813,3,5,4,4,0,2,2
F,50,15,501,5,0,5,0,3,1,0
