Gender,Age,Occupation,ZIP-code,2,56,260,653,673,1009,1073,1525,1750,1881,1967,2043,2093,2105,2143,2193,2399,2628,2968,3479,3489,3877,3889
F,1,2,245,1,4,2,0,4,5,1,5,0,0,5,1,0,3,2,4,1,3,5,0,2,5,0
M,18,4,590,0,2,5,0,0,0,0,4,0,3,0,5,2,4,0,3,4,3,3,3,0,0,1
M,35,2,261,4,3,5,3,2,3,5,4,2,2,3,3,2,3,4,5,1,4,2,5,1,3,0
M,35,20,971,4,0,5,4,5,3,4,5,3,2,5,3,0,2,0,2,2,0,3,1,5,3,0
F,45,1,954,4,1,1,3,5,1,2,0,0,0,1,4,5,3,1,3,4,1,0,1,1,4,0
F,50,2,64,2,0,2,2,0,0,0,0,0,2,4,0,0,1,4,0,0,5,2,0,1,0,0
F,50,17,910,4,0,2,3,3,3,0,0,2,3,2,0,0,1,0,0,1,4,1,0,2,5,0
M,35,5,41,0,1,5,3,0,0,0,0,4,0,2,0,0,1,0,0,3,5,0,0,0,0,0
M,25,17,206,0,2,5,1,3,4,5,0,0,0,0,1,4,5,2,0,3,0,5,3,0,2,2
F,1,1,437,4,1,1,1,2,5,3,0,5,1,0,4,3,2,2,5,1,4,5,5,1,5,4
F,25,4,136,1,0,1,5,0,0,2,0,1,3,3,2,0,5,4,1,4,0,4,2,4,1,0
F,35,12,943,4,0,5,3,3,5,2,3,1,0,1,2,3,3,4,4,2,5,4,0,3,2,2
F,25,20,904,3,2,5,2,0,4,0,0,0,0,3,1,5,2,1,1,0,4,4,0,2,1,1
F,25,16,720,0,0,2,3,1,4,3,4,2,1,0,5,0,3,0,4,5,3,4,5,0,0,0
M,18,17,277,1,0,0,2,0,0,3,4,0,4,2,1,3,4,4,5,1,3,3,0,2,1,3
M,18,12,200,4,0,3,5,5,3,1,0,1,0,0,0,5,4,2,2,1,0,3,0,1,0,1
M,25,19,206,0,0,2,0,0,2,2,0,0,3,0,4,0,0,0,4,1,1,4,0,5,5,1
M,56,0,580,0,1,4,5,3,0,0,1,1,1,5,0,2,1,0,3,4,0,4,4,2,4,2
F,25,19,900,2,2,5,0,3,4,5,0,0,0,0,5,0,1,0,4,3,5,4,0,1,0,0
M,45,9,190,4,2,3,4,2,3,2,4,5,4,4,5,3,2,1,3,3,2,4,3,5,3,0
M,25,15,142,5,0,0,1,4,1,5,4,4,0,5,0,0,0,1,3,5,2,1,0,0,3,4
F,25,13,492,1,2,5,2,0,2,3,2,0,3,2,5,4,3,4,0,2,4,3,1,1,5,0
F,18,0,244,5,0,5,3,1,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
M,18,20,66,4,3,5,4,1,3,5,0,1,4,3,0,4,0,0,0,0,4,4,3,5,0,0
M,25,7,410,4,4,1,3,1,5,1,5,0,5,3,1,1,5,2,1,2,4,0,4,0,3,3
M,35,0,230,0,0,1,3,5,3,0,0,2,3,2,5,3,4,0,5,4,0,3,5,3,0,0
M,25,19,132,2,0,1,3,4,1,1,3,5,4,3,2,3,0,4,3,3,3,4,0,0,1,3
M,18,1,280,1,3,5,1,3,2,2,1,5,1,0,5,2,5,4,4,0,1,4,5,2,3,1
M,35,17,6,3,1,2,3,3,4,3,0,3,4,5,1,0,0,0,5,1,4,5,3,4,5,0
F,56,7,847,4,3,0,2,5,0,4,0,3,0,5,0,0,3,0,4,0,2,3,3,5,0,0
M,35,6,234,5,3,5,0,0,5,5,3,4,2,2,2,0,5,5,0,2,4,0,0,3,2,0
M,18,17,761,0,4,4,5,4,0,2,0,5,5,1,2,0,5,0,4,0,2,0,4,2,0,5
M,35,12,981,4,3,5,4,3,4,0,2,4,5,4,0,5,0,0,5,1,0,4,1,2,5,5
M,35,0,170,1,4,5,3,3,4,3,0,3,3,5,1,3,5,1,2,1,2,5,4,5,5,3
M,18,4,417,0,4,3,2,5,1,2,0,2,2,4,5,5,0,4,5,4,4,4,3,1,1,3
M,45,13,492,1,4,5,3,1,0,1,0,0,2,0,0,0,1,4,5,2,4,5,0,4,0,0
F,25,7,379,4,0,5,2,4,5,0,0,0,0,1,2,0,1,2,4,1,5,0,3,3,0,4
F,35,19,465,1,1,5,3,1,5,0,2,4,4,4,0,2,2,0,4,5,4,5,3,4,5,0
M,18,4,406,0,2,5,1,3,1,5,0,0,3,4,0,1,0,1,3,0,0,0,0,0,5,4
M,1,0,905,0,3,0,3,5,5,0,3,3,3,4,2,0,4,0,4,1,5,1,0,2,3,1
M,1,9,598,0,1,4,3,5,1,0,2,4,2,4,1,0,1,2,2,5,1,5,3,5,5,1
F,35,11,10,0,3,0,4,4,3,1,3,0,5,5,0,3,0,4,3,2,4,0,5,0,3,0
M,18,12,294,1,4,0,0,4,5,0,4,3,0,0,0,0,0,0,4,0,5,3,4,2,3,0
F,45,7,623,0,3,5,2,4,0,4,2,0,0,0,2,4,4,2,0,0,0,5,0,4,0,0
F,35,4,977,0,4,3,1,3,0,4,0,0,0,2,1,0,0,0,5,1,5,0,5,3,5,0
