Gender,Age,Occupation,ZIP-code,247,885,1097,1654,2086,2138,2872
M,18,8,463,0,4,2,0,4,3,2
M,45,4,492,3,2,3,0,2,0,0
M,18,2,215,5,5,0,0,4,5,4
M,18,14,460,4,3,0,0,0,0,2
F,18,2,284,0,1,3,0,5,3,2
F,45,6,602,1,3,0,4,4,3,2
M,1,5,78,0,4,2,3,5,3,0
M,56,1,900,0,1,4,2,0,0,0
F,45,2,704,4,0,0,5,3,0,0
F,35,18,441,0,5,0,0,0,1,0
M,45,17,33,5,1,1,2,4,2,0
F,56,13,968,0,0,3,0,0,5,0
M,25,9,292,0,0,0,0,0,0,4
M,35,9,705,2,0,3,0,0,3,0
M,25,1,944,0,4,4,2,3,3,3
M,18,19,282,0,1,0,5,0,2,0
F,18,11,492,1,0,3,0,0,0,3
M,35,3,705,3,4,0,3,5,4,4
F,25,4,761,3,0,5,0,3,3,1
M,45,2,446,4,0,5,2,2,4,3
F,18,0,111,4,2,4,1,5,3,2
M,56,13,756,2,4,4,0,0,0,2
M,25,7,301,0,2,0,0,0,1,0
F,18,11,805,5,0,3,0,0,2,0
M,18,8,558,1,3,1,4,0,0,4
M,18,11,103,4,3,2,0,0,2,2
F,1,2,421,0,0,5,3,0,1,0
M,25,9,833,4,3,4,3,0,0,2
M,35,0,895,1,0,5,1,2,3,0
M,35,17,19,0,0,3,2,0,3,3
M,18,15,115,2,0,4,1,4,0,5
F,56,15,805,0,1,2,2,5,0,5
M,18,0,481,1,4,4,0,0,1,0
F,25,5,458,3,0,2,2,0,1,5
F,25,4,560,5,4,2,0,5,1,2
F,35,11,13,0,3,0,0,0,3,1
F,56,16,953,0,5,1,3,2,0,5
M,45,12,853,0,1,3,0,5,0,2
M,45,6,231,4,1,1,2,0,2,5
M,56,4,524,4,0,3,0,4,2,0
F,25,5,120,3,0,1,0,4,1,4
M,35,7,983,0,0,1,4,5,5,0
M,35,19,329,3,0,4,2,5,2,4
M,35,13,544,0,0,3,4,0,0,3
F,18,15,27,5,1,3,0,0,4,1
F,25,14,196,0,0,3,1,0,0,3
F,45,1,967,2,1,3,2,2,0,5
M,25,10,180,0,3,3,2,0,5,4
M,35,11,143,0,0,2,5,5,0,4
M,25,13,743,3,3,3,2,2,3,0
F,35,15,471,0,4,0,0,0,0,3
M,45,14,457,3,0,0,1,0,2,1
M,35,10,405,4,4,0,1,0,3,3
M,25,16,966,2,0,3,0,0,2,0
F,45,6,424,1,0,3,0,2,1,5
M,50,20,89,2,1,4,3,4,0,2
M,25,13,875,2,0,3,3,5,0,5
M,25,7,535,0,0,2,2,0,3,0
M,18,14,337,2,0,3,0,0,3,4
M,56,0,488,0,3,3,1,0,3,0
M,56,3,40,3,2,2,4,0,0,2
M,25,11,141,3,4,0,1,0,2,5
F,35,3,118,4,1,5,3,5,2,3
F,35,8,488,0,0,3,1,0,0,0
F,25,11,314,0,0,0,3,0,3,5
