Gender,Age,Occupation,ZIP-code,260,1097,1750,2021,2093,2105,2628,2968
M,45,5,296,0,5,5,0,0,3,2,0
M,35,4,301,4,2,0,2,1,4,3,5
M,18,15,481,0,0,2,2,0,2,4,4
M,50,5,484,4,4,0,2,1,5,3,0
F,25,13,750,3,0,1,2,1,5,3,0
M,25,5,630,0,4,0,0,0,0,1,0
M,45,7,910,5,4,1,1,4,0,0,1
F,45,2,782,5,2,0,2,2,1,0,4
F,56,5,907,5,4,2,3,2,3,4,4
M,18,2,445,4,5,0,5,2,0,3,0
M,18,12,144,5,4,1,4,0,4,0,5
M,18,15,275,3,5,1,2,5,5,5,4
F,18,5,221,0,3,5,3,3,2,4,4
M,35,3,900,0,2,1,0,0,1,2,1
F,50,5,985,5,5,4,3,4,5,0,5
F,25,0,424,3,2,0,0,3,0,3,1
F,25,5,950,1,4,0,3,3,1,4,4
M,25,4,297,5,5,4,4,5,0,4,4
F,1,6,826,2,0,0,5,3,4,4,3
M,25,16,906,2,1,2,0,4,3,3,1
F,50,7,990,2,0,0,2,0,5,2,0
F,35,17,983,1,3,0,2,0,5,4,4
M,45,3,584,0,3,0,0,0,4,4,0
F,25,17,492,5,1,3,5,4,0,4,5
F,18,14,54,5,5,3,2,1,5,4,1
M,50,4,141,5,4,0,2,5,5,4,4
F,50,15,345,5,5,2,2,5,1,4,4
F,45,15,731,5,4,0,5,3,5,4,3
M,25,4,764,5,3,0,0,0,2,5,0
F,35,13,971,4,1,3,1,1,0,4,4
F,35,2,380,0,5,4,3,3,0,1,0
M,35,14,627,3,2,1,2,0,0,0,4
M,18,7,927,1,5,0,2,5,4,3,3
F,56,19,201,2,0,3,2,0,4,5,4
M,56,3,604,5,5,0,0,2,5,4,3
M,1,20,279,2,3,4,0,0,3,4,0
M,35,14,191,4,0,3,2,5,4,4,0
M,56,9,833,2,0,3,2,5,0,4,3
F,35,1,577,1,0,0,4,2,0,0,3
F,50,1,841,3,1,2,0,2,3,2,4
F,56,17,627,3,0,2,3,0,2,0,3
M,35,10,743,2,5,0,0,3,2,0,4
M,35,4,522,4,2,4,1,5,0,5,5
M,25,5,354,2,3,2,3,4,4,4,4
M,35,16,30,5,1,3,1,1,3,2,4
M,1,0,454,2,2,4,3,0,0,5,1
M,56,9,970,5,2,3,3,4,5,4,0
M,1,18,925,2,0,0,2,2,2,3,4
M,18,2,127,4,3,0,4,0,4,4,1
