39,2,11,3,22,0,0,3,49,2,49,0,37,0,*,*,32,1,0,5,36,4,11,1,*,*,11,0,25,2,20,5,0,2,17,0,*,*,41,0,*,*,12,0
4,3,2,0,7,0,25,0,43,3,3,2,13,0,*,*,49,3,5,0,37,2,1,3,*,*,24,0,41,2,47,5,10,0,3,3,*,*,43,5,*,*,4,0
2,3,12,4,47,0,0,0,19,4,49,0,0,5,*,*,5,5,39,0,35,5,27,0,*,*,47,4,18,0,16,0,4,0,5,5,*,*,31,3,*,*,15,0
1,1,26,1,10,0,25,0,25,4,31,0,24,3,*,*,20,0,49,4,49,0,28,0,*,*,43,3,38,3,22,1,17,0,49,3,*,*,1,0,*,*,4,0
24,4,49,0,11,0,20,0,19,3,24,2,1,5,*,*,27,0,16,0,24,0,43,0,*,*,4,1,17,0,1,4,12,1,8,1,*,*,0,3,*,*,0,0
25,1,25,3,5,0,46,4,24,0,43,3,33,4,*,*,0,0,11,3,35,3,18,0,*,*,29,0,29,2,13,0,0,0,2,4,*,*,35,3,*,*,3,0
39,0,0,0,28,0,48,0,47,4,9,3,19,5,*,*,40,1,26,3,5,4,39,0,*,*,48,4,49,5,40,2,1,1,6,2,*,*,8,2,*,*,0,0
43,0,21,0,34,0,49,3,49,5,23,0,42,0,*,*,26,2,8,0,11,4,23,5,*,*,22,1,5,2,20,3,24,5,14,0,*,*,47,0,*,*,6,0
49,5,4,3,38,0,33,0,41,5,22,5,44,0,*,*,36,0,21,3,0,3,27,0,*,*,26,0,20,3,23,3,20,0,4,0,*,*,32,5,*,*,10,0
14,4,49,2,49,0,32,4,48,1,36,2,28,5,*,*,40,4,8,3,13,0,9,2,*,*,41,0,31,4,0,0,6,0,4,0,*,*,39,3,*,*,11,0
45,4,15,0,13,0,6,0,14,3,15,4,19,3,*,*,15,5,3,1,47,4,36,0,*,*,39,0,47,0,26,1,16,0,4,0,*,*,26,5,*,*,3,0
3,0,29,4,14,0,11,0,49,0,36,2,46,0,*,*,5,0,21,4,35,0,37,4,*,*,11,4,36,0,21,0,1,3,17,3,*,*,18,2,*,*,3,0
9,0,42,0,0,0,23,0,12,1,49,0,0,0,*,*,41,0,16,3,11,0,24,0,*,*,37,1,3,0,18,0,9,3,22,0,*,*,19,0,*,*,0,0
43,0,49,3,12,0,25,0,24,0,24,0,19,0,*,*,18,1,49,1,0,0,27,0,*,*,49,0,19,1,5,5,0,0,5,5,*,*,14,0,*,*,3,0
15,5,7,5,21,0,25,0,24,0,48,4,9,0,*,*,21,3,45,3,25,5,23,0,*,*,17,0,25,3,13,1,8,0,0,3,*,*,38,2,*,*,7,0
42,0,24,4,25,0,21,0,47,0,27,0,9,1,*,*,0,4,35,0,49,0,36,0,*,*,36,3,18,3,46,0,21,0,1,0,*,*,10,0,*,*,0,0
33,0,0,3,32,0,11,2,45,1,0,3,13,1,*,*,27,0,24,4,49,4,46,1,*,*,5,4,25,3,7,0,11,0,17,4,*,*,30,1,*,*,4,0
49,5,4,0,2,0,11,0,23,2,24,2,34,5,*,*,40,0,43,0,20,2,49,5,*,*,16,2,1,0,49,5,2,3,4,0,*,*,6,1,*,*,0,0
24,2,45,0,8,0,48,1,44,3,36,2,24,0,*,*,25,2,41,0,24,1,11,1,*,*,30,2,12,2,18,1,42,0,23,0,*,*,23,4,*,*,4,0
8,3,24,5,17,0,20,4,49,5,1,5,35,2,*,*,46,2,9,4,20,4,23,3,*,*,30,2,46,3,10,4,11,0,0,2,*,*,17,2,*,*,13,0
49,2,24,5,18,0,25,0,24,0,49,0,31,3,*,*,49,0,28,3,2,0,0,2,*,*,44,5,22,1,33,3,0,4,2,2,*,*,28,3,*,*,13,0
25,4,16,1,24,0,49,4,33,4,44,3,2,0,*,*,34,2,35,0,9,4,26,0,*,*,45,0,41,5,32,0,10,0,21,5,*,*,37,1,*,*,34,0
28,2,41,0,31,0,3,2,23,2,30,3,14,1,*,*,1,1,8,5,24,4,15,4,*,*,19,0,18,2,29,2,5,4,27,2,*,*,49,0,*,*,8,0
0,0,43,0,35,0,49,4,30,3,19,0,26,4,*,*,1,0,25,4,38,3,0,3,*,*,14,0,24,4,24,0,2,4,2,4,*,*,48,1,*,*,9,0
46,3,24,1,37,0,6,1,14,3,19,5,24,1,*,*,17,2,44,1,35,5,22,0,*,*,25,2,37,2,6,3,0,2,23,0,*,*,33,5,*,*,7,0
18,0,38,4,39,0,47,4,0,5,49,0,49,2,*,*,47,4,26,4,49,0,24,1,*,*,33,5,25,2,13,0,0,0,16,3,*,*,13,0,*,*,32,0
38,0,18,0,42,0,41,5,47,1,47,2,31,0,*,*,32,0,0,0,49,4,37,4,*,*,32,5,35,3,8,0,8,3,8,1,*,*,9,0,*,*,3,0
26,4,42,5,44,0,29,0,5,4,4,4,24,5,*,*,37,3,22,1,14,0,38,3,*,*,17,0,31,1,49,3,0,2,17,0,*,*,5,2,*,*,0,0
