*,*,49,0,37,0,34,0,14,3,10,0,3,0,*,*,32,1,0,0,11,4,4,3,*,*,11,0,8,3,14,2,0,0,1,0,*,*,41,0,38,4,41,0
*,*,27,0,40,1,17,0,27,3,48,0,21,3,*,*,23,3,1,0,9,5,15,0,*,*,24,0,0,0,44,0,1,0,48,0,*,*,43,5,5,0,32,0
*,*,27,0,47,1,13,0,37,0,38,1,9,5,*,*,5,5,2,0,3,2,7,0,*,*,47,4,5,0,5,2,2,0,33,2,*,*,31,3,18,4,3,0
*,*,13,0,48,0,45,0,4,2,32,0,38,3,*,*,20,0,3,0,12,3,40,1,*,*,43,3,35,0,44,2,3,0,17,2,*,*,1,0,1,5,12,0
*,*,13,4,26,0,47,0,12,2,27,4,11,0,*,*,27,0,4,0,1,0,48,0,*,*,4,1,1,4,8,0,4,0,41,1,*,*,0,3,7,0,1,0
*,*,23,0,41,3,13,4,36,1,31,1,19,3,*,*,0,0,5,0,16,2,8,0,*,*,29,0,23,0,8,3,5,0,13,4,*,*,35,3,45,4,20,0
*,*,22,4,20,2,46,3,33,4,12,2,26,4,*,*,48,1,6,4,3,4,4,0,*,*,48,4,6,3,25,5,6,0,7,1,*,*,8,2,7,4,29,0
*,*,41,0,34,3,11,1,40,0,22,1,44,4,*,*,26,2,7,0,42,2,7,0,*,*,22,0,8,1,25,1,7,0,16,0,*,*,47,0,2,4,41,0
*,*,5,0,40,0,15,0,46,2,13,0,20,5,*,*,36,0,8,0,5,0,8,0,*,*,26,0,13,0,42,2,8,0,5,2,*,*,32,5,3,5,44,4
*,*,13,3,10,5,3,0,15,0,15,2,29,1,*,*,38,4,9,0,1,1,8,0,*,*,41,0,42,1,5,0,9,0,49,0,*,*,39,3,20,4,2,0
*,*,42,0,5,1,17,3,41,3,42,3,47,3,*,*,15,5,10,0,0,2,33,0,*,*,39,0,37,0,16,5,10,0,47,0,*,*,26,5,30,0,45,0
*,*,24,0,24,0,43,0,6,0,18,0,1,2,*,*,31,0,11,0,6,0,7,0,*,*,12,4,13,1,9,0,11,0,11,0,*,*,18,2,43,0,31,0
*,*,36,0,39,0,37,5,38,0,29,4,2,0,*,*,41,0,12,0,0,5,40,4,*,*,37,1,10,0,42,3,12,0,6,2,*,*,19,0,5,2,17,2
*,*,6,1,48,2,23,1,24,4,22,0,8,3,*,*,18,1,13,2,7,5,8,0,*,*,49,0,26,1,8,2,13,0,23,4,*,*,14,0,22,1,14,5
*,*,18,1,17,4,24,0,23,0,4,0,24,4,*,*,16,3,14,0,0,2,40,0,*,*,21,0,13,0,34,0,14,0,19,2,*,*,38,2,20,5,17,3
*,*,42,0,27,0,13,5,1,5,6,2,4,1,*,*,19,4,15,0,0,0,7,0,*,*,36,3,13,3,29,0,15,0,39,0,*,*,10,0,20,0,18,1
*,*,14,5,40,0,27,0,8,5,11,0,23,4,*,*,6,0,16,0,3,1,45,3,*,*,5,1,6,1,1,5,16,0,0,1,*,*,30,1,1,3,40,0
*,*,48,2,8,0,11,0,47,4,24,2,18,4,*,*,35,0,17,0,5,5,8,0,*,*,16,2,8,3,4,5,17,0,31,0,*,*,6,1,7,0,5,5
*,*,29,0,0,1,18,1,26,1,14,5,40,2,*,*,25,2,18,0,13,5,7,0,*,*,30,2,6,2,17,4,18,0,45,0,*,*,23,4,9,0,49,0
*,*,36,4,35,0,39,0,34,3,40,4,25,3,*,*,30,2,19,0,15,4,8,0,*,*,31,2,15,0,34,2,19,0,25,3,*,*,17,2,3,3,9,0
*,*,14,5,31,0,12,0,16,0,21,3,37,0,*,*,49,0,20,0,2,0,8,0,*,*,44,0,16,2,44,4,20,0,27,4,*,*,28,3,17,2,26,4
*,*,14,0,3,0,30,1,21,4,46,0,7,0,*,*,34,2,21,0,9,4,7,0,*,*,45,0,4,2,24,2,21,0,35,0,*,*,37,1,4,0,49,1
*,*,14,3,3,0,48,0,42,2,33,5,4,0,*,*,1,1,22,0,44,4,8,0,*,*,19,5,1,2,7,2,22,0,30,0,*,*,49,0,3,4,23,4
*,*,12,4,40,0,11,0,45,0,2,3,17,0,*,*,4,0,23,0,10,3,8,0,*,*,14,0,1,2,3,2,23,0,44,4,*,*,48,1,8,0,24,4
*,*,43,1,17,0,7,0,9,2,34,3,5,1,*,*,17,2,24,0,6,5,8,0,*,*,46,2,6,2,22,4,24,0,24,0,*,*,33,5,20,0,15,5
*,*,15,4,4,4,33,0,22,2,20,2,46,0,*,*,28,4,25,0,11,0,7,0,*,*,33,5,0,2,5,0,25,0,34,1,*,*,13,0,27,5,46,0
*,*,13,0,9,5,28,4,25,4,44,1,0,4,*,*,9,0,26,0,9,4,8,0,*,*,32,5,6,4,9,5,26,0,17,0,*,*,9,0,1,0,10,0
*,*,0,4,22,0,44,1,19,4,36,0,27,5,*,*,37,3,27,4,3,0,8,0,*,*,17,0,0,3,10,1,27,0,43,3,*,*,5,2,1,4,38,5
*,*,42,2,34,5,9,0,49,4,17,0,19,1,*,*,46,3,28,0,11,1,15,0,*,*,13,2,34,3,9,3,28,0,15,0,*,*,12,0,27,0,30,1
*,*,27,0,8,3,36,0,31,4,26,2,6,4,*,*,33,0,29,0,1,5,8,0,*,*,28,3,12,3,19,4,29,0,29,0,*,*,25,1,7,4,4,1
*,*,28,4,1,0,29,0,28,3,19,2,36,1,*,*,44,1,30,0,3,3,7,0,*,*,6,0,1,5,5,2,30,0,32,0,*,*,29,0,10,0,6,2
*,*,29,1,44,1,9,0,0,2,42,4,35,4,*,*,13,4,31,0,1,4,8,0,*,*,2,1,0,3,24,0,31,0,46,0,*,*,21,0,0,3,0,5
*,*,17,5,3,0,27,1,10,3,28,5,13,2,*,*,40,3,32,0,6,3,8,0,*,*,25,4,13,3,2,4,32,0,4,0,*,*,15,3,4,5,3,4
*,*,42,0,46,4,40,5,39,1,16,0,12,0,*,*,47,0,33,0,40,0,40,4,*,*,18,2,13,0,35,5,33,0,36,4,*,*,44,0,44,0,47,5
*,*,47,1,44,3,9,0,20,1,49,2,12,4,*,*,10,0,34,0,0,4,8,0,*,*,42,3,23,1,5,3,34,0,20,3,*,*,3,0,2,5,31,2
*,*,40,4,25,0,11,0,32,3,23,3,42,2,*,*,12,5,35,2,1,4,40,3,*,*,8,2,0,4,9,0,35,0,21,3,*,*,45,1,19,0,35,5
*,*,45,2,36,0,4,4,44,4,0,0,10,0,*,*,11,3,36,3,42,0,42,4,*,*,7,2,25,4,20,2,36,0,2,0,*,*,36,3,2,0,21,2
*,*,14,2,20,0,21,0,2,2,7,3,22,4,*,*,29,5,37,3,3,2,15,0,*,*,3,2,8,3,7,4,37,0,14,0,*,*,2,0,18,0,48,0
*,*,42,0,18,0,9,0,35,2,47,0,28,4,*,*,21,4,38,0,25,0,8,0,*,*,35,0,5,2,28,4,38,0,8,0,*,*,27,3,5,2,27,2
*,*,18,5,35,4,14,3,17,2,39,5,34,4,*,*,8,2,39,1,9,4,8,0,*,*,9,1,13,2,46,4,39,0,40,0,*,*,22,2,1,0,17,0
*,*,13,0,30,0,21,3,3,3,14,3,14,2,*,*,39,1,40,0,12,3,7,0,*,*,0,0,1,4,41,0,40,4,9,3,*,*,20,3,8,4,17,1
*,*,12,0,40,0,31,3,29,4,43,0,41,1,*,*,2,2,41,0,2,5,8,0,*,*,10,0,5,1,22,5,41,0,22,0,*,*,24,0,1,5,39,4
*,*,17,5,3,2,19,2,48,0,3,4,30,0,*,*,42,5,42,0,47,2,8,0,*,*,38,5,27,4,22,5,42,0,18,2,*,*,46,0,7,5,37,5
*,*,7,0,42,0,25,0,43,1,9,4,16,0,*,*,22,1,43,0,1,3,7,4,*,*,34,0,3,0,22,2,43,0,10,3,*,*,42,0,1,0,43,5
*,*,21,4,48,0,24,0,5,4,35,5,49,4,*,*,14,1,44,0,11,0,7,0,*,*,27,0,6,4,40,5,44,0,42,5,*,*,4,2,4,2,36,3
*,*,27,4,21,0,22,5,7,2,41,5,15,0,*,*,3,5,45,0,40,0,8,0,*,*,1,3,35,0,23,2,45,0,12,0,*,*,16,5,27,5,7,3
*,*,9,0,27,0,20,0,18,2,5,4,33,0,*,*,45,0,46,4,19,0,8,0,*,*,15,0,1,3,29,2,46,0,37,3,*,*,34,0,10,5,11,0
*,*,20,0,20,3,0,5,30,2,37,4,43,2,*,*,7,0,47,0,5,0,8,0,*,*,23,1,1,5,44,2,47,0,3,3,*,*,11,1,0,0,8,2
*,*,38,0,6,0,37,0,13,0,1,0,31,0,*,*,43,4,48,0,16,3,8,0,*,*,40,0,6,5,36,0,48,0,27,0,*,*,40,0,42,2,16,1
*,*,13,0,39,0,38,2,11,0,13,0,48,4,*,*,24,3,49,0,1,5,7,0,*,*,20,0,25,0,35,2,49,1,38,5,*,*,7,5,0,0,28,0
