11,2,36,0,36,0,39,0,31,2,20,0,3,0,*,*,32,1,43,0,11,0,*,*,*,*,11,0,47,4,1,0,0,2,1,0,*,*,41,0,1,5,12,0
7,0,16,0,1,4,3,0,15,5,48,1,0,0,*,*,23,3,9,0,42,0,*,*,*,*,24,0,0,2,0,0,0,0,48,0,*,*,43,5,5,0,4,0
43,5,5,0,6,3,2,0,37,2,23,3,9,5,*,*,5,5,2,0,3,0,*,*,*,*,47,4,25,0,1,0,0,3,33,2,*,*,31,3,24,0,15,0
0,0,41,0,45,0,20,0,40,3,42,2,38,4,*,*,20,0,13,0,12,0,*,*,*,*,43,3,0,2,5,0,17,0,2,5,*,*,1,0,43,4,4,0
1,5,4,0,2,2,9,0,3,2,14,4,46,0,*,*,27,0,3,0,1,0,*,*,*,*,4,1,0,5,0,0,16,2,41,1,*,*,0,3,17,3,38,0
19,4,0,0,1,5,13,2,44,4,4,0,15,3,*,*,0,0,30,0,16,0,*,*,*,*,29,0,17,0,0,0,11,0,13,4,*,*,35,3,30,5,3,0
32,0,10,2,1,4,23,0,11,0,15,2,26,0,*,*,48,1,19,4,3,0,*,*,*,*,48,4,13,0,13,0,26,4,7,1,*,*,8,2,15,3,0,0
8,2,49,0,1,5,4,0,45,2,37,3,16,0,*,*,26,2,0,0,4,4,*,*,*,*,22,0,1,0,13,0,0,0,16,0,*,*,47,0,34,1,6,0
1,0,11,3,15,3,7,0,16,5,33,3,49,4,*,*,36,0,0,0,5,0,*,*,*,*,26,0,1,0,15,0,31,1,5,2,*,*,32,5,40,3,3,0
1,4,36,5,1,1,9,0,24,2,43,4,29,0,*,*,38,4,30,0,1,0,*,*,*,*,41,0,23,4,20,0,6,5,49,0,*,*,39,3,4,4,11,0
3,1,10,5,14,5,0,0,32,3,0,0,47,3,*,*,15,5,3,0,0,0,*,*,*,*,39,0,1,3,22,4,16,0,47,0,*,*,26,5,15,0,3,0
25,3,4,0,0,1,9,0,49,0,16,0,0,0,*,*,31,0,3,0,6,0,*,*,*,*,11,4,25,2,3,0,42,0,45,2,*,*,18,2,5,2,3,0
18,0,0,0,2,4,23,0,4,2,6,2,2,0,*,*,41,0,2,0,4,0,*,*,*,*,37,1,1,3,18,0,9,3,6,2,*,*,19,0,37,5,0,0
12,2,1,2,27,2,2,0,48,0,8,0,8,4,*,*,18,1,5,2,44,4,*,*,*,*,49,0,26,1,0,0,0,2,23,4,*,*,14,0,2,5,2,0
