11,0,44,0,44,0,26,0,21,2,31,0,39,0,*,*,49,1,9,0,31,0,5,0,*,*,11,0,38,0,34,0,16,0,17,0,*,*,28,0,25,0,*,*
35,0,13,0,40,0,43,0,3,0,37,0,38,0,*,*,48,3,13,0,28,0,22,0,*,*,24,0,6,0,13,0,23,0,3,3,*,*,19,5,23,0,*,*
21,0,25,0,16,0,17,0,12,3,35,0,31,0,*,*,13,5,16,0,19,0,46,0,*,*,47,4,49,0,45,0,33,0,5,5,*,*,13,3,7,0,*,*
6,0,36,0,23,0,34,0,5,2,12,0,29,0,*,*,14,0,12,0,40,0,29,0,*,*,43,3,39,0,19,0,27,0,49,3,*,*,24,0,36,0,*,*
29,0,20,0,7,0,9,0,19,3,2,0,46,0,*,*,4,0,42,0,10,0,26,0,*,*,4,1,28,0,36,0,24,0,8,1,*,*,6,3,39,0,*,*
44,0,6,0,13,0,42,0,2,0,40,0,15,0,*,*,36,0,47,0,20,0,9,0,*,*,29,0,17,0,0,0,44,0,13,4,*,*,48,3,29,0,*,*
4,0,18,0,32,0,37,0,8,1,28,0,5,0,*,*,32,2,15,0,41,0,15,0,*,*,48,4,9,0,12,0,40,0,6,2,*,*,25,2,27,0,*,*
25,0,32,0,9,0,14,0,4,3,44,0,32,0,*,*,37,2,44,0,11,0,6,0,*,*,22,1,45,0,25,0,9,0,14,0,*,*,30,0,43,0,*,*
49,0,33,0,10,0,12,0,8,5,20,0,23,0,*,*,31,0,38,0,44,0,31,0,*,*,26,0,20,0,20,0,42,0,4,0,*,*,39,5,19,0,*,*
43,0,10,0,25,0,15,0,8,0,43,0,27,0,*,*,39,0,4,0,24,0,34,0,*,*,41,0,21,0,6,0,47,0,4,0,*,*,11,3,30,0,*,*
9,0,3,0,27,0,25,0,1,3,46,0,4,0,*,*,24,5,36,0,23,0,47,0,*,*,39,0,15,0,5,0,1,0,4,0,*,*,15,5,47,0,*,*
33,0,16,0,17,0,38,0,33,0,14,0,48,0,*,*,31,0,20,0,22,0,42,0,*,*,11,4,41,0,35,0,3,0,17,3,*,*,44,2,32,0,*,*
34,0,42,0,22,0,46,0,1,5,19,0,8,0,*,*,47,0,10,0,0,0,1,0,*,*,37,1,0,0,46,0,14,0,6,0,*,*,4,0,15,0,*,*
16,0,45,0,43,0,23,0,13,4,18,0,42,0,*,*,18,1,0,0,34,0,7,0,*,*,49,0,22,0,28,0,10,0,5,5,*,*,26,0,6,0,*,*
45,0,35,0,0,0,27,0,4,5,11,0,2,0,*,*,16,3,1,0,48,0,4,0,*,*,17,0,26,0,7,0,11,0,0,3,*,*,1,2,49,0,*,*
17,0,8,0,37,0,32,0,6,0,10,0,11,0,*,*,19,4,22,0,27,0,32,0,*,*,36,3,36,0,1,0,48,0,1,0,*,*,46,0,17,0,*,*
32,0,41,0,38,0,19,0,34,3,21,0,45,0,*,*,6,0,45,0,12,0,0,0,*,*,5,4,14,0,8,0,38,0,17,4,*,*,35,1,8,0,*,*
0,0,46,0,8,0,31,0,3,5,4,0,36,0,*,*,35,0,7,0,49,0,20,0,*,*,16,2,3,0,3,0,25,0,4,0,*,*,33,1,9,0,*,*
13,0,47,0,11,0,24,0,1,3,27,0,9,0,*,*,3,2,3,0,43,0,30,0,*,*,30,2,31,0,48,0,28,0,47,0,*,*,41,4,31,0,*,*
40,0,2,0,49,0,28,0,6,0,17,0,13,0,*,*,26,2,8,0,15,0,28,0,*,*,30,2,19,0,17,0,17,0,0,2,*,*,38,2,4,0,*,*
27,0,39,0,42,0,3,0,1,3,24,0,47,0,*,*,23,0,26,0,8,0,13,0,*,*,44,5,40,0,24,0,41,0,2,2,*,*,22,3,20,0,*,*
46,0,7,0,47,0,33,0,6,4,45,0,21,0,*,*,26,2,25,0,4,0,23,0,*,*,45,0,48,0,18,0,35,0,21,5,*,*,3,1,1,0,*,*
38,0,28,0,35,0,16,0,4,3,26,0,3,0,*,*,1,1,31,0,1,0,18,0,*,*,19,0,1,0,15,0,21,0,27,2,*,*,9,0,35,0,*,*
23,0,38,0,45,0,45,0,9,0,1,0,49,0,*,*,41,0,11,0,32,0,11,0,*,*,14,0,5,0,21,0,12,0,5,0,*,*,36,1,38,0,*,*
15,0,17,0,2,0,41,0,12,0,48,0,34,0,*,*,17,2,24,0,3,0,10,0,*,*,25,2,2,0,27,0,39,0,23,0,*,*,27,5,37,0,*,*
41,0,48,0,28,0,0,0,47,5,39,0,18,0,*,*,33,4,6,0,42,0,44,0,*,*,33,5,34,0,49,0,29,0,16,3,*,*,49,0,44,0,*,*
19,0,11,0,46,0,39,0,23,3,32,0,28,0,*,*,27,0,48,0,37,0,36,0,*,*,32,5,37,0,11,0,37,0,8,1,*,*,14,0,46,0,*,*
36,0,29,0,34,0,4,0,1,0,6,0,16,0,*,*,27,3,27,0,29,0,35,0,*,*,17,0,25,0,33,0,43,0,17,0,*,*,5,2,34,0,*,*
8,0,23,0,1,0,11,0,1,2,36,0,26,0,*,*,46,3,35,0,13,0,14,0,*,*,13,2,7,0,42,0,0,0,1,0,*,*,47,0,24,0,*,*
12,0,12,0,3,0,1,0,13,3,9,0,17,0,*,*,34,0,21,0,17,0,12,0,*,*,28,3,42,0,32,0,18,0,8,4,*,*,29,1,48,0,*,*
2,0,49,0,18,0,8,0,9,4,23,0,24,0,*,*,44,1,18,0,6,0,24,0,*,*,6,0,4,0,37,0,36,0,2,0,*,*,42,0,0,0,*,*
7,0,43,0,12,0,20,0,1,0,29,0,41,0,*,*,13,4,5,0,18,0,45,0,*,*,2,1,24,0,16,0,20,0,46,0,*,*,7,0,33,0,*,*
42,0,40,0,48,0,48,0,9,1,3,0,37,0,*,*,25,3,28,0,21,0,43,0,*,*,25,4,10,0,40,0,8,0,2,0,*,*,45,3,45,0,*,*
24,0,15,0,41,0,7,0,14,4,22,0,33,0,*,*,47,0,37,0,9,0,19,0,*,*,18,2,18,0,30,0,49,0,17,0,*,*,43,0,3,0,*,*
47,0,21,0,24,0,13,0,7,3,41,0,40,0,*,*,10,0,14,0,25,0,2,0,*,*,42,3,8,0,44,0,7,0,8,3,*,*,18,0,40,0,*,*
