27,0,5,0,3,2,0,0,31,4,*,*,3,0,*,*,32,1,0,3,8,5,20,5,*,*,42,0,0,0,34,4,14,0,1,0,*,*,41,0,8,0,26,3
42,0,11,0,40,5,14,0,15,0,*,*,0,0,*,*,23,3,43,0,17,5,35,3,*,*,24,0,18,5,44,4,12,0,48,0,*,*,43,0,0,2,15,0
37,0,17,0,44,4,28,4,37,2,*,*,9,2,*,*,5,5,5,0,46,0,0,0,*,*,37,4,3,0,44,2,38,0,33,2,*,*,31,0,44,1,7,1
44,0,42,0,4,0,26,0,40,3,*,*,38,3,*,*,20,2,22,0,7,0,10,1,*,*,23,3,35,0,17,1,27,4,15,4,*,*,1,3,11,5,25,0
28,5,44,0,14,0,19,4,3,2,*,*,11,0,*,*,27,0,5,0,42,0,45,0,*,*,4,1,32,1,12,0,39,2,41,1,*,*,0,2,38,0,33,5
33,4,33,0,29,4,13,0,44,4,*,*,44,3,*,*,0,0,34,0,9,0,24,0,*,*,29,0,26,0,26,0,38,0,13,0,*,*,35,3,24,5,2,0
32,0,45,3,41,2,43,0,11,0,*,*,26,5,*,*,48,0,13,5,42,0,27,0,*,*,48,4,40,5,48,4,47,4,7,1,*,*,8,2,2,4,22,0
6,4,14,0,26,4,44,4,45,2,*,*,44,3,*,*,26,4,30,4,7,1,36,4,*,*,6,0,23,0,15,5,23,2,16,0,*,*,47,0,43,0,46,4
24,0,24,0,6,1,15,5,16,3,*,*,20,0,*,*,36,0,19,0,46,3,7,0,*,*,23,0,39,0,32,4,23,0,5,2,*,*,32,5,31,1,34,3
20,4,36,0,16,1,0,2,24,0,*,*,29,0,*,*,38,0,17,0,16,1,15,0,*,*,41,0,42,0,28,1,27,0,49,0,*,*,39,3,5,0,11,3
13,0,25,0,11,5,19,0,32,0,*,*,47,0,*,*,15,5,44,0,22,0,44,4,*,*,39,0,19,2,22,1,16,4,47,5,*,*,26,4,17,0,42,0
25,2,18,0,5,2,19,0,49,0,*,*,1,0,*,*,31,0,28,0,6,2,28,0,*,*,1,4,39,0,32,0,18,3,11,2,*,*,18,2,49,2,1,3
1,0,48,0,2,0,11,0,4,2,*,*,2,2,*,*,41,0,25,4,36,0,4,0,*,*,37,1,10,0,26,0,22,0,6,2,*,*,19,4,1,0,17,3
29,0,32,2,46,3,7,3,48,0,*,*,8,4,*,*,18,1,14,2,48,0,32,0,*,*,49,0,5,0,0,2,24,1,23,4,*,*,14,0,34,0,34,0
46,5,7,4,38,0,19,2,0,1,*,*,24,4,*,*,16,3,43,3,5,5,44,0,*,*,21,0,4,0,39,0,15,0,19,2,*,*,38,2,29,5,32,3
41,1,31,0,33,5,5,5,9,0,*,*,20,0,*,*,19,0,22,0,13,0,1,0,*,*,38,3,30,0,12,0,31,2,8,0,*,*,10,0,27,5,40,0
12,0,3,0,35,0,26,0,20,0,*,*,23,4,*,*,6,0,17,0,17,4,34,1,*,*,25,1,6,1,10,1,15,0,0,1,*,*,30,0,42,3,16,0
34,4,31,1,44,4,31,2,39,2,*,*,18,0,*,*,35,0,22,0,35,2,37,3,*,*,22,2,19,0,24,3,2,3,31,0,*,*,6,1,14,4,5,0
9,0,35,0,29,3,27,0,46,0,*,*,40,2,*,*,25,2,3,0,47,5,18,0,*,*,31,2,47,0,42,1,42,0,45,0,*,*,23,0,4,1,22,0
