14,3,5,0,11,5,9,3,*,*,12,0,11,5,*,*,4,1,16,0,11,4,5,0,*,*,3,0,33,3,48,2,0,2,1,3,*,*,32,3,32,1,4,0
39,0,6,0,16,0,14,2,*,*,28,4,6,3,*,*,23,3,43,4,9,5,31,3,*,*,24,0,11,2,0,0,19,0,31,0,*,*,42,0,2,1,19,3
15,5,24,2,4,4,9,0,*,*,17,0,34,4,*,*,5,5,12,3,5,2,27,0,*,*,18,4,16,3,29,0,5,3,10,5,*,*,26,3,45,3,3,0
6,5,15,2,7,2,26,0,*,*,8,1,1,4,*,*,20,0,38,5,1,5,45,4,*,*,7,3,8,1,8,0,19,0,44,2,*,*,47,5,4,5,16,3
12,2,11,5,0,4,0,0,*,*,34,0,34,2,*,*,27,0,5,3,9,0,16,2,*,*,4,1,1,4,2,5,0,1,12,1,*,*,1,0,34,0,2,0
12,5,9,0,0,0,25,1,*,*,40,3,39,1,*,*,1,0,5,0,9,0,5,0,*,*,29,0,8,0,16,0,0,0,13,4,*,*,12,4,21,4,38,0
12,0,1,0,18,4,6,0,*,*,29,3,6,0,*,*,23,1,30,4,5,4,0,0,*,*,3,4,0,0,5,5,6,4,6,2,*,*,21,4,17,4,5,0
28,2,5,0,26,1,28,5,*,*,28,2,0,0,*,*,26,2,23,2,7,0,18,5,*,*,42,1,39,0,13,0,21,3,43,0,*,*,3,0,2,4,39,0
24,0,7,0,4,0,9,2,*,*,33,1,34,4,*,*,36,0,49,0,13,2,14,2,*,*,26,0,10,0,15,2,26,0,8,0,*,*,7,4,33,5,25,5
15,2,43,4,4,5,0,3,*,*,33,0,35,5,*,*,38,4,30,3,1,0,4,2,*,*,41,0,39,0,8,0,5,0,49,0,*,*,41,1,20,4,11,0
23,3,28,0,49,4,6,4,*,*,8,0,37,0,*,*,39,5,6,0,0,2,2,4,*,*,39,0,11,4,1,4,4,0,8,0,*,*,42,0,11,0,3,0
38,2,11,1,27,2,11,2,*,*,7,0,10,4,*,*,31,0,4,0,6,0,7,0,*,*,11,4,24,4,48,0,3,0,1,0,*,*,10,1,44,0,3,0
35,2,9,0,39,5,23,5,*,*,19,5,9,3,*,*,41,0,9,3,11,0,20,1,*,*,37,1,10,0,1,1,15,3,22,0,*,*,8,0,17,0,44,2
8,0,27,4,34,1,32,3,*,*,12,0,4,5,*,*,18,1,46,2,0,4,13,0,*,*,9,0,40,1,17,1,10,0,28,5,*,*,8,0,27,1,1,5
14,0,9,3,1,5,11,4,*,*,0,2,24,4,*,*,16,3,39,2,5,3,49,5,*,*,21,0,28,2,0,2,49,0,19,2,*,*,36,5,29,5,2,3
0,0,3,5,27,3,38,5,*,*,1,0,2,1,*,*,8,4,12,0,12,0,19,4,*,*,36,3,39,3,3,0,7,0,12,0,*,*,17,0,36,0,2,1
4,4,1,0,32,5,28,4,*,*,17,2,4,0,*,*,6,0,43,0,7,2,2,4,*,*,4,4,35,1,5,5,21,0,43,4,*,*,5,1,1,3,0,1
