19,0,47,0,36,0,1,0,8,3,19,0,7,0,*,*,4,1,30,0,25,4,1,0,*,*,11,0,*,*,0,0,0,2,17,0,*,*,20,0,2,0,4,5
13,2,4,0,1,4,7,0,0,0,6,0,12,0,*,*,23,3,2,0,12,0,10,3,*,*,24,0,*,*,0,0,10,0,3,3,*,*,10,0,29,4,6,0
3,0,8,0,6,3,11,0,23,0,4,0,7,0,*,*,5,5,2,0,15,0,18,0,*,*,47,4,*,*,25,0,4,0,5,5,*,*,31,0,28,0,13,0
13,0,8,0,45,0,8,0,15,5,8,4,0,0,*,*,30,0,0,0,3,0,5,0,*,*,43,3,*,*,1,0,17,0,49,3,*,*,49,0,14,2,7,0
2,0,14,0,2,2,9,0,1,0,13,0,2,0,*,*,27,0,0,0,8,0,4,0,*,*,4,1,*,*,7,0,12,1,8,1,*,*,19,0,4,0,12,0
0,4,11,0,1,5,6,0,1,0,1,0,0,0,*,*,0,0,14,0,15,0,4,0,*,*,29,0,*,*,0,0,0,0,13,4,*,*,2,1,2,5,23,0
4,0,3,0,1,4,6,0,4,0,5,5,0,0,*,*,23,1,2,4,11,0,0,0,*,*,48,4,*,*,25,1,1,1,6,2,*,*,0,2,29,0,3,0
0,1,14,0,1,5,0,0,11,0,33,0,35,0,*,*,26,2,3,0,41,2,10,0,*,*,22,1,*,*,31,0,21,3,14,0,*,*,1,0,0,0,6,0
13,0,7,0,15,3,0,0,48,0,13,0,32,0,*,*,36,0,10,0,11,0,0,0,*,*,26,0,*,*,11,0,20,0,4,0,*,*,1,5,0,0,6,0
1,0,3,0,1,1,6,0,7,0,27,0,32,0,*,*,38,4,0,0,10,0,2,5,*,*,41,0,*,*,1,0,6,0,4,0,*,*,31,2,0,2,18,0
1,0,26,0,14,5,7,0,0,0,8,0,1,0,*,*,15,5,0,0,14,0,4,0,*,*,39,0,*,*,0,5,16,0,4,0,*,*,12,0,1,0,0,0
12,0,11,0,0,1,10,0,2,0,4,0,1,0,*,*,31,0,0,0,5,0,14,0,*,*,11,4,*,*,2,0,1,3,17,3,*,*,37,0,2,0,7,0
11,0,7,0,2,4,1,0,7,0,13,5,33,0,*,*,41,0,8,0,2,0,1,0,*,*,37,1,*,*,11,0,9,3,6,0,*,*,1,4,0,0,12,0
42,0,47,1,27,2,2,0,48,0,6,0,5,0,*,*,18,1,30,4,3,3,0,0,*,*,49,0,*,*,5,0,0,0,5,5,*,*,2,0,7,1,30,0
12,1,6,4,2,5,2,5,0,0,5,4,3,0,*,*,16,3,30,0,14,5,48,0,*,*,17,0,*,*,13,0,8,0,0,3,*,*,0,0,3,0,13,0
4,0,18,0,0,3,32,0,48,0,1,0,27,0,*,*,19,4,10,0,5,0,0,0,*,*,36,3,*,*,2,0,21,0,1,0,*,*,49,0,4,2,18,0
13,0,18,0,13,4,7,0,13,0,19,0,12,0,*,*,6,0,1,0,8,0,1,0,*,*,5,4,*,*,20,0,11,0,17,4,*,*,37,0,0,0,6,0
0,0,18,0,6,2,9,0,15,5,27,0,33,0,*,*,35,0,20,0,5,0,4,0,*,*,16,2,*,*,25,0,2,3,4,0,*,*,3,0,29,0,3,0
12,0,33,0,7,5,6,4,23,0,17,0,0,0,*,*,25,2,0,0,5,0,18,0,*,*,30,2,*,*,0,0,42,0,47,0,*,*,31,0,28,0,12,0
12,0,14,0,3,5,0,0,8,0,24,0,35,0,*,*,30,2,1,0,11,0,1,0,*,*,30,2,*,*,31,3,11,0,0,2,*,*,10,3,0,0,6,0
11,0,6,0,37,2,9,0,10,4,19,0,35,0,*,*,23,0,0,0,6,0,22,0,*,*,44,5,*,*,13,0,0,4,2,2,*,*,0,3,2,0,12,0
42,0,4,0,14,2,1,0,0,0,1,0,0,0,*,*,26,2,14,0,6,0,48,0,*,*,45,0,*,*,0,0,10,0,21,5,*,*,0,0,9,0,30,0
0,0,47,0,13,0,1,0,15,2,23,0,2,0,*,*,1,1,3,0,1,0,22,0,*,*,19,0,*,*,2,0,5,4,27,2,*,*,31,0,5,0,12,0
13,0,47,0,2,4,9,0,11,0,19,0,7,0,*,*,4,0,4,0,2,0,18,0,*,*,14,0,*,*,7,0,2,4,5,0,*,*,0,0,3,0,18,0
5,0,18,2,2,3,6,0,19,2,17,0,0,0,*,*,17,2,4,0,14,3,12,0,*,*,25,2,*,*,0,0,0,2,23,0,*,*,2,0,5,0,13,0
42,2,3,0,2,4,0,0,19,3,23,0,3,0,*,*,28,4,4,0,8,0,18,0,*,*,33,5,*,*,0,0,0,0,16,3,*,*,37,0,14,0,0,0
4,0,18,0,0,1,0,0,15,5,8,0,0,0,*,*,9,0,8,0,3,0,1,0,*,*,32,5,*,*,20,0,8,3,8,1,*,*,3,0,28,0,13,0
14,0,8,0,2,2,0,0,7,0,1,0,3,0,*,*,27,3,0,0,15,0,1,0,*,*,17,0,*,*,9,1,0,2,17,0,*,*,0,0,7,0,0,0
14,0,18,0,29,1,9,0,7,3,8,0,9,0,*,*,46,3,3,0,6,0,2,4,*,*,13,2,*,*,2,0,0,0,1,0,*,*,12,0,5,0,30,0
4,0,47,0,2,1,7,0,15,0,6,1,33,0,*,*,33,0,35,0,12,0,5,0,*,*,28,3,*,*,2,0,0,0,8,4,*,*,11,0,29,0,6,0
