16,0,2,0,24,1,5,1,3,5,2,0,41,0,*,*,5,0,2,4,0,2,12,4,*,*,40,0,1,3,*,*,2,0,16,4,*,*,4,0,11,0,6,0
5,4,5,0,3,2,0,3,2,0,1,0,31,4,*,*,4,0,0,5,3,0,34,1,*,*,0,0,18,4,*,*,21,0,0,0,*,*,3,0,3,2,8,0
0,0,5,0,2,2,29,5,37,0,1,0,48,0,*,*,41,2,26,5,12,5,0,2,*,*,31,1,3,0,*,*,20,0,36,0,*,*,37,0,20,2,8,0
20,0,2,0,21,0,1,0,4,4,1,0,3,0,*,*,45,5,23,4,8,0,16,5,*,*,37,2,6,5,*,*,20,0,47,4,*,*,7,0,14,3,39,2
12,4,0,0,7,0,6,0,44,4,20,2,8,0,*,*,8,0,1,0,11,2,2,0,*,*,4,1,6,5,*,*,0,0,12,0,*,*,44,3,6,0,2,5
3,0,3,0,0,2,5,1,44,4,21,0,40,0,*,*,2,5,0,5,3,0,1,5,*,*,16,1,22,0,*,*,2,0,8,0,*,*,9,3,4,2,39,2
29,4,13,3,5,0,24,5,2,0,3,4,1,3,*,*,16,0,0,5,1,5,12,4,*,*,27,0,3,0,*,*,10,5,12,0,*,*,17,1,3,2,35,5
5,4,0,0,47,0,5,1,21,2,21,0,1,3,*,*,47,0,0,5,3,0,7,2,*,*,36,2,6,5,*,*,36,1,6,2,*,*,49,2,0,3,24,0
0,0,4,0,21,0,12,5,30,2,4,2,5,0,*,*,39,2,6,2,0,2,16,5,*,*,35,2,0,0,*,*,3,1,1,0,*,*,6,2,4,2,46,4
4,5,2,0,5,0,10,0,5,0,9,2,8,0,*,*,26,0,1,0,3,0,16,5,*,*,39,1,1,3,*,*,0,0,40,0,*,*,26,1,7,4,16,1
4,5,22,5,4,5,6,0,2,0,4,2,3,0,*,*,34,0,9,0,3,0,14,2,*,*,41,0,3,0,*,*,21,0,1,0,*,*,15,2,24,1,16,1
11,0,8,4,18,0,0,3,14,0,0,0,2,2,*,*,36,3,2,4,9,1,16,5,*,*,0,0,27,0,*,*,4,0,12,0,*,*,21,1,2,2,16,1
3,0,8,4,0,2,20,1,2,0,9,2,2,2,*,*,35,5,1,0,0,2,28,2,*,*,0,0,9,0,*,*,46,3,1,0,*,*,2,3,14,3,38,0
3,0,16,0,5,0,9,0,14,0,0,0,15,0,*,*,2,5,2,4,9,1,42,5,*,*,0,0,14,0,*,*,46,3,1,0,*,*,25,0,4,2,40,2
23,3,13,3,21,0,9,0,2,0,0,0,7,0,*,*,24,4,4,4,10,3,4,0,*,*,5,0,27,0,*,*,0,0,1,0,*,*,0,0,1,4,35,5
11,0,29,0,38,1,29,5,19,0,2,0,14,0,*,*,10,5,7,0,7,5,10,0,*,*,4,1,1,3,*,*,4,0,48,0,*,*,1,5,44,0,24,0
17,0,4,0,36,3,20,1,2,0,42,5,14,0,*,*,14,0,19,4,3,0,32,2,*,*,17,2,3,0,*,*,0,0,7,2,*,*,45,5,4,2,35,5
10,0,22,5,2,2,0,3,2,0,3,4,23,3,*,*,24,4,2,4,2,3,1,5,*,*,48,0,3,0,*,*,1,1,4,1,*,*,19,2,40,0,40,2
15,2,12,0,2,2,14,0,6,0,2,0,1,3,*,*,13,1,23,4,10,3,1,5,*,*,33,2,10,0,*,*,20,0,41,3,*,*,11,2,4,2,6,0
2,0,22,5,23,3,2,2,5,0,1,0,14,0,*,*,1,3,40,0,1,5,18,0,*,*,22,5,10,0,*,*,1,1,14,0,*,*,23,1,45,3,4,1
41,3,3,0,1,5,39,4,16,0,12,5,30,3,*,*,3,0,26,5,7,5,4,0,*,*,49,2,22,0,*,*,26,2,8,0,*,*,40,3,0,3,0,1
