1,0,1,2,,,42,0,1,0,1,5,1,0,,,1,2,8,0,24,0,1,1,,,6,0,34,0,7,0,48,0,1,0,,,1,4,39,0,13,0
2,1,2,1,,,43,0,2,0,2,2,2,2,,,2,1,4,0,1,0,2,0,,,28,0,47,0,20,0,7,0,2,4,,,2,4,11,0,14,0
3,3,3,3,,,29,0,3,5,3,1,3,0,,,3,5,34,0,15,0,3,3,,,41,0,18,0,35,0,27,0,3,5,,,3,4,5,0,2,0
4,3,4,2,,,8,0,4,3,4,1,4,3,,,4,0,1,0,39,0,4,4,,,5,0,8,0,41,0,42,0,4,5,,,4,1,35,0,29,0
5,2,5,3,,,6,0,5,3,5,2,5,0,,,5,5,43,0,30,0,5,5,,,17,0,13,0,32,0,29,0,5,3,,,5,3,33,0,35,0
6,1,6,5,,,3,0,6,5,6,5,6,3,,,6,4,37,0,42,0,6,4,,,7,0,33,0,25,0,24,0,6,2,,,6,3,25,0,50,0
7,0,7,1,,,47,0,7,5,7,3,7,1,,,7,3,14,0,34,0,7,4,,,39,0,40,0,11,0,2,0,7,4,,,7,2,9,0,27,0
8,5,8,4,,,45,0,8,3,8,2,8,0,,,8,1,23,0,9,0,8,3,,,1,0,44,0,29,0,32,0,8,5,,,8,2,17,0,46,0
9,0,9,1,,,1,0,9,5,9,2,9,1,,,9,1,16,0,28,0,9,5,,,38,0,29,0,17,0,9,0,9,1,,,9,2,12,0,1,0
10,2,10,5,,,9,0,10,3,10,0,10,5,,,10,4,39,0,16,0,10,1,,,44,0,26,0,22,0,1,0,10,2,,,10,2,45,0,31,0
11,2,11,3,,,21,0,11,3,11,3,11,5,,,11,2,45,0,33,0,11,1,,,36,0,49,0,27,0,18,0,11,1,,,11,5,43,0,37,0
12,4,12,3,,,49,0,12,4,12,2,12,3,,,12,5,35,0,48,0,12,2,,,13,0,1,0,2,0,26,0,12,4,,,12,4,22,0,30,0
13,4,13,3,,,7,0,13,3,13,2,13,0,,,13,3,2,0,47,0,13,1,,,34,0,3,0,1,0,10,0,13,1,,,13,0,29,0,36,0
