10,0,,,33,1,49,0,17,5,31,0,41,0,,,35,0,43,0,15,3,16,0,,,23,1,12,0,6,0,0,0,1,2,,,40,4,46,0,27,1
12,1,,,20,2,27,0,10,4,27,0,11,2,,,9,0,40,0,7,1,5,3,,,22,5,45,0,2,5,5,0,4,0,,,21,3,9,1,46,0
32,1,,,26,1,23,1,8,0,36,3,12,0,,,1,0,23,0,12,3,34,0,,,1,3,47,0,9,4,42,4,9,4,,,5,1,35,0,41,0
39,0,,,37,2,47,1,28,0,49,4,3,0,,,49,3,32,0,25,0,32,0,,,8,2,6,0,1,1,14,2,17,4,,,19,0,28,5,11,0
25,0,,,22,2,7,4,4,4,34,0,26,2,,,46,1,10,0,29,0,48,0,,,5,0,49,1,12,0,28,4,32,0,,,44,2,29,0,31,0
34,0,,,39,2,0,2,37,0,26,0,24,0,,,12,1,22,0,4,3,47,0,,,2,0,4,0,4,0,23,2,5,1,,,11,4,45,5,37,0
21,0,,,18,3,29,1,6,3,38,5,2,0,,,31,0,5,0,45,0,13,0,,,36,0,44,0,5,1,18,4,18,2,,,35,2,27,0,19,0
23,1,,,45,3,1,0,1,4,44,0,18,0,,,16,5,38,0,18,0,11,0,,,30,0,20,0,29,0,30,1,45,3,,,4,0,37,0,14,0
27,0,,,44,0,11,0,31,0,32,0,13,0,,,24,0,18,0,41,4,0,0,,,33,2,8,0,8,4,1,2,35,0,,,6,4,4,0,21,0
36,1,,,49,1,8,2,3,0,2,1,10,0,,,17,3,44,0,23,0,18,0,,,21,3,17,4,11,3,37,0,3,0,,,41,4,1,0,26,0
45,0,,,5,2,20,0,7,2,12,0,36,0,,,26,0,49,0,47,2,27,0,,,32,0,11,0,23,4,38,4,49,0,,,29,5,22,0,9,0
13,0,,,19,0,17,0,48,3,33,0,35,0,,,22,2,9,0,48,3,10,0,,,26,2,40,0,42,4,46,0,31,0,,,43,1,16,0,0,0
48,0,,,1,3,46,1,47,0,24,5,34,0,,,2,0,48,0,6,3,29,0,,,7,2,34,0,17,0,16,1,44,0,,,37,1,33,0,12,0
16,0,,,35,1,42,0,16,1,21,0,22,0,,,40,1,41,0,43,3,6,0,,,9,0,15,0,49,2,27,0,6,0,,,20,3,30,4,22,0
2,4,,,10,3,21,0,43,0,6,4,38,0,,,13,2,20,0,30,5,9,0,,,38,0,43,0,24,5,45,0,40,5,,,34,1,39,0,13,0
41,0,,,0,1,16,5,5,0,11,0,47,0,,,5,4,12,0,26,0,25,0,,,17,3,30,0,48,3,2,0,38,2,,,39,4,43,0,30,0
6,0,,,17,2,26,0,29,0,5,1,43,0,,,19,3,11,0,46,5,1,0,,,31,0,7,5,10,0,22,4,8,0,,,18,0,41,0,29,0
11,0,,,28,0,33,4,14,5,15,5,23,0,,,7,0,46,0,24,3,40,0,,,35,5,5,5,3,1,48,4,42,0,,,23,4,19,0,34,1
49,0,,,48,1,6,3,34,3,43,0,6,1,,,39,0,35,0,16,0,31,0,,,13,1,38,0,16,5,36,5,36,5,,,10,3,17,0,43,1
22,0,,,38,2,3,3,22,2,7,0,29,0,,,48,4,25,0,0,4,42,0,,,27,2,1,0,40,5,11,0,34,5,,,42,3,44,0,49,0
9,0,,,4,4,39,2,13,4,37,0,8,0,,,14,1,14,5,3,4,8,0,,,45,2,9,4,14,0,7,2,10,2,,,46,0,23,0,17,0
0,0,,,24,0,5,0,11,3,14,0,1,0,,,15,0,37,0,14,0,24,0,,,28,3,14,5,44,0,6,3,13,0,,,32,1,38,0,36,0
3,0,,,34,2,24,0,41,5,45,0,7,0,,,21,0,2,0,19,4,49,0,,,47,2,10,0,31,0,12,5,0,4,,,24,0,6,0,1,0
7,0,,,23,2,22,1,20,1,48,0,48,0,,,29,0,21,0,44,0,43,0,,,15,2,22,0,28,5,24,3,20,4,,,13,4,13,0,16,0
14,0,,,13,3,43,3,42,0,46,0,37,0,,,36,0,3,0,10,0,14,0,,,40,0,26,1,18,0,44,5,29,0,,,36,5,36,0,15,0
18,4,,,8,2,10,0,40,4,20,0,19,2,,,33,5,6,4,32,3,45,0,,,41,0,27,3,21,4,34,2,47,2,,,0,4,3,0,3,0
26,0,,,7,0,13,0,0,0,4,0,0,4,,,45,0,17,5,20,2,15,3,,,18,2,23,0,25,0,3,4,22,4,,,14,4,21,0,39,0
47,0,,,47,2,35,0,24,5,8,0,17,0,,,30,2,30,4,21,0,21,0,,,0,2,29,0,41,0,35,0,28,0,,,8,3,15,0,40,4
33,0,,,9,3,48,1,18,5,17,0,40,0,,,6,0,39,0,39,0,37,3,,,14,0,28,0,26,0,40,2,21,0,,,9,0,34,0,20,0
20,4,,,11,3,2,3,12,1,19,2,16,0,,,27,3,4,0,42,4,7,0,,,34,0,19,0,32,4,43,3,11,2,,,15,5,18,0,48,0
31,0,,,2,5,36,2,44,5,25,4,42,0,,,10,4,16,0,28,0,46,0,,,49,0,32,0,19,2,31,0,24,1,,,12,0,20,4,25,0
5,0,,,6,5,32,0,26,1,0,0,44,1,,,0,0,36,0,1,5,28,0,,,44,0,48,0,20,0,49,0,26,0,,,26,5,8,5,42,0
29,0,,,46,2,19,0,9,5,28,3,5,0,,,23,0,7,0,33,5,35,4,,,29,3,39,0,15,0,13,2,39,0,,,16,5,32,0,7,0
38,1,,,14,0,4,5,32,4,41,0,46,0,,,4,5,45,0,38,3,36,0,,,25,2,13,0,43,3,21,0,41,0,,,3,3,24,0,35,2
46,0,,,29,1,45,0,46,0,9,0,39,0,,,34,5,33,0,9,0,3,0,,,3,0,2,3,38,1,9,1,19,1,,,33,0,40,0,47,0
43,4,,,31,3,28,3,45,1,23,0,28,4,,,20,4,13,2,35,5,38,0,,,12,3,46,0,27,1,29,0,12,0,,,48,0,12,0,5,5
19,4,,,43,3,9,2,49,0,3,0,14,0,,,3,0,34,0,36,0,39,0,,,39,2,21,3,34,0,25,4,23,5,,,1,4,48,0,45,0
35,0,,,41,1,25,0,38,5,1,5,20,4,,,25,0,42,3,13,4,33,0,,,46,4,16,0,35,0,41,4,27,5,,,38,1,14,0,8,0
1,0,,,40,4,30,0,35,0,40,0,30,0,,,28,4,28,0,37,0,23,0,,,10,4,18,0,39,4,39,0,2,4,,,17,5,0,0,18,0
8,1,,,30,1,44,4,19,3,29,0,32,0,,,11,4,24,3,2,0,41,0,,,20,5,3,0,30,2,33,2,43,4,,,31,3,25,4,32,0
24,0,,,12,3,31,5,27,0,42,0,25,0,,,44,3,31,0,27,0,22,2,,,42,2,31,0,46,0,4,3,30,4,,,28,3,26,0,38,0
28,0,,,16,0,40,0,23,4,13,0,31,1,,,18,5,27,0,5,5,30,0,,,16,1,25,3,33,0,19,4,16,3,,,47,0,47,0,33,0
15,0,,,3,2,41,0,2,4,30,0,9,0,,,37,3,15,0,17,4,4,5,,,37,0,42,0,22,4,10,0,14,4,,,25,5,42,0,28,0
42,0,,,36,3,18,2,25,0,39,0,45,0,,,41,0,26,4,31,0,20,0,,,4,4,36,2,45,4,8,1,37,0,,,22,0,10,0,6,1
40,0,,,25,5,37,0,33,0,16,0,21,4,,,47,5,19,0,49,4,17,0,,,48,0,41,0,13,1,20,4,25,4,,,27,2,5,0,4,3
44,0,,,27,3,34,0,15,0,22,0,33,0,,,38,0,0,0,8,3,19,0,,,24,3,33,0,37,0,26,0,33,0,,,30,2,49,0,2,1
30,4,,,42,2,14,5,39,2,10,0,15,0,,,42,0,29,2,34,0,44,0,,,19,0,35,0,0,2,32,5,48,5,,,7,3,31,0,10,0
4,4,,,32,4,12,1,30,0,35,0,4,0,,,8,0,8,0,11,4,12,0,,,6,3,37,0,7,1,47,5,46,2,,,45,1,2,0,44,0
37,3,,,15,4,15,0,36,0,47,0,49,0,,,32,3,1,0,40,5,2,0,,,43,0,0,0,47,3,15,0,15,2,,,2,0,11,4,23,0
17,0,,,21,0,38,1,21,1,18,0,27,0,,,43,3,47,0,22,0,26,0,,,11,0,24,0,36,1,17,0,7,2,,,49,4,7,0,24,1
