14,4,9,1,36,0,*,*,31,4,35,0,1,5,*,*,4,1,4,3,40,5,5,0,*,*,11,0,4,1,48,0,0,2,1,3,*,*,41,0,1,0,12,0
39,0,11,5,11,4,*,*,15,2,17,4,27,0,*,*,23,3,16,2,3,0,31,3,*,*,24,0,29,0,12,0,10,0,48,3,*,*,43,5,28,1,4,0
15,0,10,0,19,1,*,*,37,3,2,3,3,4,*,*,5,5,2,3,26,0,27,1,*,*,47,4,23,3,10,1,4,0,33,3,*,*,31,3,18,4,3,3
6,4,37,0,20,4,*,*,40,0,0,0,5,5,*,*,30,0,13,0,1,1,45,0,*,*,43,3,11,2,24,4,17,0,29,3,*,*,1,0,1,5,7,0
12,0,36,0,0,0,*,*,3,1,1,0,0,2,*,*,27,0,3,0,39,5,16,0,*,*,4,1,2,4,44,5,12,1,41,2,*,*,0,3,7,0,3,0
12,1,30,0,26,0,*,*,44,0,0,1,1,5,*,*,0,0,30,0,37,0,5,0,*,*,29,0,44,0,26,0,0,0,13,3,*,*,35,3,7,5,7,0
12,0,7,0,1,4,*,*,11,0,17,3,16,5,*,*,23,1,19,4,21,0,0,5,*,*,48,4,20,0,11,2,1,1,7,2,*,*,8,2,7,4,3,0
28,0,47,0,1,5,*,*,45,4,5,0,0,0,*,*,26,2,8,2,49,0,18,1,*,*,22,1,1,4,36,1,21,3,16,1,*,*,47,0,2,4,6,0
24,4,13,1,15,3,*,*,16,0,4,1,2,4,*,*,36,0,0,4,34,5,14,5,*,*,26,0,27,0,21,3,20,0,5,2,*,*,32,5,3,5,10,4
15,1,1,0,3,2,*,*,24,2,24,1,4,5,*,*,38,4,30,3,12,5,4,4,*,*,41,0,24,4,45,2,6,0,49,0,*,*,39,3,20,4,11,0
23,3,29,4,14,5,*,*,32,5,19,0,37,0,*,*,15,5,3,0,19,0,2,0,*,*,39,0,7,0,31,0,16,0,47,0,*,*,26,5,30,0,0,2
38,0,17,0,0,1,*,*,49,3,2,4,3,4,*,*,31,0,3,0,35,3,7,0,*,*,11,4,27,0,34,4,1,3,11,0,*,*,18,2,5,4,7,0
35,0,17,0,11,1,*,*,4,4,5,2,0,5,*,*,41,0,2,3,22,0,20,2,*,*,37,1,40,1,0,4,9,3,6,0,*,*,19,0,5,2,0,2
8,0,8,4,3,5,*,*,48,0,0,0,3,3,*,*,18,1,5,1,17,3,13,2,*,*,49,0,26,1,17,5,0,0,23,2,*,*,14,0,22,1,2,5
14,0,46,1,2,5,*,*,0,1,0,2,6,4,*,*,16,3,30,2,5,5,49,0,*,*,17,0,19,2,7,1,8,0,19,0,*,*,38,2,20,5,9,1
0,3,3,0,0,3,*,*,9,0,4,1,40,0,*,*,19,4,3,3,45,5,19,2,*,*,36,3,45,3,6,5,21,0,26,0,*,*,10,0,20,0,0,1
4,3,44,3,13,4,*,*,20,2,2,0,22,5,*,*,6,0,0,0,27,0,2,2,*,*,5,4,3,3,45,5,11,0,0,2,*,*,30,1,1,3,18,1
38,0,23,0,34,4,*,*,39,3,16,4,33,5,*,*,35,0,1,0,23,2,38,4,*,*,16,2,36,1,4,3,2,2,31,0,*,*,6,1,7,0,7,0
12,3,14,3,7,5,*,*,46,4,16,4,9,2,*,*,25,2,19,2,7,2,0,5,*,*,30,2,18,0,46,1,42,0,45,3,*,*,23,4,9,0,4,0
16,0,22,1,11,4,*,*,27,4,8,3,0,0,*,*,30,2,26,5,24,0,40,2,*,*,30,2,12,0,30,4,11,0,25,5,*,*,17,2,7,5,13,0
11,1,39,3,37,2,*,*,34,0,4,0,12,3,*,*,23,0,20,0,43,0,49,4,*,*,44,5,42,0,43,1,6,3,28,5,*,*,28,3,17,2,13,4
