12,0,28,0,38,0,23,2,16,0,29,0,32,2,13,2,40,5,19,0,44,1,40,0,*,*,39,2,29,1,*,*,39,1,47,1,6,0,42,0,17,4,25,2
16,4,25,0,7,0,45,1,19,2,20,0,31,2,22,0,42,5,5,5,21,3,47,4,*,*,30,1,18,5,*,*,29,0,37,2,17,0,33,1,19,0,42,0
3,0,34,0,17,0,37,0,13,4,25,1,12,5,40,0,24,0,18,4,13,0,5,5,*,*,28,4,39,1,*,*,32,4,33,0,34,0,43,5,23,1,16,0
43,4,36,4,13,2,38,1,24,0,26,1,28,4,47,1,9,3,22,3,48,0,22,4,*,*,1,4,37,5,*,*,16,1,5,5,19,2,21,0,14,3,13,2
34,0,37,0,48,0,43,0,20,0,17,0,24,5,23,5,39,0,8,1,16,4,31,0,*,*,45,2,34,1,*,*,39,3,35,1,9,2,15,3,26,1,30,0
38,2,11,5,29,0,1,2,13,2,2,1,47,0,4,0,29,0,28,0,21,0,49,3,*,*,17,4,3,0,*,*,31,0,26,1,47,0,23,2,49,2,20,0
0,4,23,2,12,5,37,0,37,1,18,4,21,0,2,5,23,1,36,0,41,4,7,1,*,*,47,3,14,2,*,*,4,1,16,0,32,0,36,4,6,2,4,0
36,0,37,1,15,1,7,3,14,0,9,0,0,0,23,4,29,0,43,5,37,0,23,0,*,*,9,4,25,5,*,*,15,0,22,0,15,3,31,5,11,0,44,3
32,0,32,0,46,0,48,5,38,3,36,2,16,2,24,5,12,1,2,3,45,0,42,5,*,*,26,0,44,1,*,*,14,1,42,0,3,5,47,1,28,0,12,0
24,5,5,0,0,3,9,4,6,4,49,0,13,0,41,0,43,1,48,0,33,5,23,0,*,*,31,0,31,3,*,*,33,1,44,5,39,2,20,3,13,0,38,0
44,4,24,2,26,4,49,5,35,4,23,2,2,5,29,1,32,4,34,0,0,0,9,0,*,*,20,2,36,4,*,*,48,4,31,0,31,3,49,1,10,0,17,2
42,2,30,4,21,2,37,5,1,0,15,4,1,0,17,5,21,0,39,0,30,0,19,0,*,*,13,0,24,1,*,*,35,4,16,0,44,0,19,2,30,0,4,0
19,1,0,0,34,4,22,0,17,2,26,3,43,0,29,1,25,4,39,0,29,0,41,3,*,*,19,3,49,0,*,*,46,0,30,0,28,4,21,0,4,0,15,4
23,2,9,5,33,3,36,0,10,4,32,0,35,0,2,4,33,4,40,0,10,0,29,1,*,*,31,0,42,0,*,*,30,0,3,5,13,3,10,4,28,4,43,0
4,5,41,0,30,0,21,2,4,4,29,0,45,1,1,5,30,0,0,0,46,1,6,4,*,*,13,1,27,2,*,*,1,0,28,2,49,5,11,0,12,5,3,4
2,0,2,0,34,0,49,3,30,0,16,3,10,2,35,3,3,0,49,3,32,3,1,5,*,*,47,5,23,0,*,*,2,2,7,0,8,0,33,0,42,4,35,3
40,0,10,2,32,0,4,0,16,0,30,1,39,5,2,4,20,0,29,1,27,1,10,4,*,*,26,5,20,0,*,*,38,2,20,0,43,0,35,0,4,5,42,0
41,0,27,5,45,3,15,0,27,0,8,4,46,3,11,0,48,2,38,2,40,2,16,2,*,*,49,0,46,2,*,*,31,3,36,0,29,4,18,2,41,0,34,5
48,1,49,4,6,2,31,1,45,1,41,0,42,0,18,3,40,5,13,1,33,0,40,3,*,*,13,4,0,0,*,*,40,0,22,2,23,5,2,5,35,3,18,2
5,0,8,0,26,0,11,0,6,0,40,3,17,0,9,3,28,4,27,0,45,0,23,0,*,*,11,0,8,1,*,*,23,0,47,3,16,0,24,3,41,0,9,3
45,0,22,0,1,3,20,0,14,0,5,4,12,1,10,5,28,0,34,3,3,0,47,1,*,*,12,4,19,5,*,*,27,5,24,3,5,4,40,0,20,1,16,0
10,4,27,4,20,5,16,2,27,5,48,0,0,3,49,2,8,5,25,0,43,0,42,0,*,*,32,0,38,5,*,*,3,5,42,0,0,1,35,4,25,5,11,4
14,0,40,0,16,0,13,0,22,0,0,0,5,0,30,0,12,0,43,0,14,1,32,0,*,*,3,0,10,3,*,*,26,0,46,0,33,2,42,0,31,0,48,2
21,0,21,0,29,0,7,0,13,4,26,3,7,1,25,2,0,0,13,1,9,3,27,1,*,*,35,3,40,0,*,*,39,1,11,5,7,4,32,3,42,0,5,2
33,0,33,1,28,2,26,3,23,0,44,5,26,0,30,0,44,0,8,0,7,5,17,1,*,*,9,0,1,2,*,*,20,0,22,0,12,1,36,0,40,4,10,1
17,4,22,4,47,0,22,3,46,1,44,1,44,0,15,0,22,0,7,4,8,0,45,5,*,*,27,2,9,2,*,*,42,3,5,1,48,1,25,0,23,0,14,0
49,4,19,4,24,1,17,2,35,4,28,0,42,3,3,1,2,5,17,5,11,4,48,1,*,*,7,2,47,2,*,*,47,5,0,2,21,4,26,0,7,3,31,3
47,0,44,3,12,4,47,4,47,5,34,1,25,0,6,1,40,0,9,2,14,5,4,0,*,*,11,1,26,0,*,*,2,0,23,2,41,0,22,0,38,0,24,3
11,0,14,1,14,5,18,0,49,0,40,0,3,2,40,0,18,4,30,0,1,0,28,0,*,*,25,0,45,0,*,*,8,1,39,2,4,1,4,2,3,0,45,0
8,0,45,0,24,0,42,0,18,0,11,0,5,0,0,0,7,0,38,0,4,0,44,0,*,*,3,0,33,4,*,*,7,0,12,0,14,0,26,0,30,0,31,3
29,2,15,0,23,0,46,0,36,0,41,0,27,0,47,0,14,0,10,0,13,0,10,0,*,*,6,0,5,2,*,*,41,0,46,0,22,0,32,0,2,0,6,0
